Steps,45 kg,55 kg,64 kg,73 kg,82 kg,91 kg,100 kg,114 kg,125 kg,136 kg
"1,000",25,30,35,40,45,50,55,62,68,75
"2,000",50,60,69,79,89,99,109,125,136,149
"3,000",75,90,104,119,134,149,164,187,205,224
"4,000",100,120,138,158,178,198,218,249,273,298
"5,000",125,150,173,198,223,248,273,311,341,373
"6,000",150,180,207,237,267,297,327,374,409,447
"7,000",175,210,242,277,312,347,382,436,477,522
"8,000",200,240,276,316,356,396,436,498,545,596
"9,000",225,270,311,356,401,446,491,560,614,671
"10,000",250,300,345,395,445,495,545,623,682,745
"11,000",275,330,380,435,490,545,600,685,750,820
"12,000",300,360,415,475,535,595,655,747,818,895
"13,000",325,390,449,514,579,644,709,810,886,969
"14,000",350,420,484,554,624,694,764,872,955,"1,044"
"15,000",375,450,518,593,668,743,818,934,"1,023","1,118"
"16,000",400,480,553,633,713,793,873,996,"1,091","1,193"
"17,000",425,510,587,672,757,842,927,"1,059","1,159","1,267"
"18,000",450,540,622,712,802,892,982,"1,121","1,227","1,342"
"19,000",475,570,656,751,846,941,"1,036","1,183","1,295","1,416"
"20,000",500,600,691,791,891,991,"1,091","1,245","1,364","1,491"
